"DOY_int";"";"";"";"i";"j";"k"
"291.5625";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.572916666667";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.583333333333";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.59375";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.604166666667";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.614583333333";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.625";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.635416666667";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.645833333333";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.65625";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.666666666667";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.677083333333";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.6875";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"291.697916666667";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"292.614583333333";"292";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"292.625";"292";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"292.635416666667";"292";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"292.645833333333";"292";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"292.65625";"292";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"292.666666666667";"292";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"292.677083333333";"292";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"292.6875";"292";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"302.666666666667";"302";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"303.677083333333";"303";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"303.979166666667";"303";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"304";"304";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
"91";"91";"203.9";"0";"GUE_97_14.csv";"1998";"PcAb1"
"113.770833333333";"113";"203.9";"0";"GUE_97_14.csv";"1998";"PcAb1"
"113.770833333333";"113";"212.900038399864";"1151.99631361253";"GUE_97_14.csv";"1998";"PcAb1"
"113.78125";"113";"224.9";"736";"GUE_97_14.csv";"1998";"PcAb1"
"113.84375";"113";"270.9";"695.999232002561";"GUE_97_14.csv";"1998";"PcAb1"
"113.885416666667";"113";"299.8999680001";"432.001535994998";"GUE_97_14.csv";"1998";"PcAb1"
"113.90625";"113";"308.9";"370.285143773257";"GUE_97_14.csv";"1998";"PcAb1"
"113.979166666667";"113";"335.89995840013";"224.001023996796";"GUE_97_14.csv";"1998";"PcAb1"
"114.010416666667";"114";"342.89999040003";"223.999761067418";"GUE_97_14.csv";"1998";"PcAb1"
"114.104166666667";"114";"363.8999680001";"192.003379189235";"GUE_97_14.csv";"1998";"PcAb1"
"114.114583333333";"114";"365.900003199989";"96";"GUE_97_14.csv";"1998";"PcAb1"
"114.145833333333";"114";"368.900003199989";"95.9999808000639";"GUE_97_14.csv";"1998";"PcAb1"
"114.3125";"114";"384.9";"76.7998771204508";"GUE_97_14.csv";"1998";"PcAb1"
"114.364583333333";"114";"388.899993600023";"37.1954691568977";"GUE_97_14.csv";"1998";"PcAb1"
"150.229166666667";"150";"1722.89999680001";"36.9145500083131";"GUE_97_14.csv";"1998";"PcAb1"
"159.25";"159";"2055.9";"31.9346825926835";"GUE_97_14.csv";"1998";"PcAb1"
"164.354166666667";"164";"2218.89994240016";"29.3453655258088";"GUE_97_14.csv";"1998";"PcAb1"
"189.291666666667";"189";"2950.69999520001";"19.4479143056016";"GUE_97_14.csv";"1998";"PcAb1"
"215.510416666667";"215";"3460.5999984";"19.2001228797482";"GUE_97_14.csv";"1998";"PcAb1"
"215.520833333333";"215";"3460.79999968";"6.07681713065038";"GUE_97_14.csv";"1998";"PcAb1"
"256.364583333333";"256";"3708.99999936";"4.26666667894481";"GUE_97_14.csv";"1998";"PcAb1"
"282.427083333333";"282";"3820.19999968";"0";"GUE_97_14.csv";"1998";"PcAb1"
"303.802083333333";"303";"3820.19999968";"0";"GUE_97_14.csv";"1998";"PcAb1"
"303.875";"303";"3820.19999968";"0";"GUE_97_14.csv";"1998";"PcAb1"
"303.916666666667";"303";"3820.19999968";"0";"GUE_97_14.csv";"1998";"PcAb1"
"304";"304";"3820.19999968";"0";"GUE_97_14.csv";"1998";"PcAb1"
"91";"91";"196.2";"0";"GUE_97_14.csv";"1998";"PcAb2"
"115.885416666667";"115";"196.2";"0";"GUE_97_14.csv";"1998";"PcAb2"
"115.885416666667";"115";"196.799983360052";"480.000798717294";"GUE_97_14.csv";"1998";"PcAb2"
"115.90625";"115";"206.8";"470.398494725136";"GUE_97_14.csv";"1998";"PcAb2"
"115.916666666667";"115";"211.699984320049";"460.802887670181";"GUE_97_14.csv";"1998";"PcAb2"
"115.927083333333";"115";"216.500014399949";"431.998617604688";"GUE_97_14.csv";"1998";"PcAb2"
"115.9375";"115";"221";"383.998771204177";"GUE_97_14.csv";"1998";"PcAb2"
"115.947916666667";"115";"224.99998720004";"364.802365431993";"GUE_97_14.csv";"1998";"PcAb2"
"115.958333333333";"115";"228.800011839958";"359.998848003926";"GUE_97_14.csv";"1998";"PcAb2"
"115.979166666667";"115";"236.299987840038";"340.800537598168";"GUE_97_14.csv";"1998";"PcAb2"
"116.020833333333";"116";"250.500010239964";"316.798986243476";"GUE_97_14.csv";"1998";"PcAb2"
"116.041666666667";"116";"257.099989120034";"288.001781753992";"GUE_97_14.csv";"1998";"PcAb2"
"116.052083333333";"116";"260.100007679973";"239.99923200261";"GUE_97_14.csv";"1998";"PcAb2"
"116.072916666667";"116";"265.099991680027";"220.801320955508";"GUE_97_14.csv";"1998";"PcAb2"
"116.083333333333";"116";"267.400005439981";"202.52901541167";"GUE_97_14.csv";"1998";"PcAb2"
"116.40625";"116";"332.8";"201.600230399216";"GUE_97_14.csv";"1998";"PcAb2"
"116.427083333333";"116";"337.000004799983";"143.999539201577";"GUE_97_14.csv";"1998";"PcAb2"
"116.4375";"116";"338.5";"37.8721649484537";"GUE_97_14.csv";"1998";"PcAb2"
"122.5";"122";"568.1";"35.7538137822199";"GUE_97_14.csv";"1998";"PcAb2"
"142.302083333333";"142";"1276.1";"27.259987707437";"GUE_97_14.csv";"1998";"PcAb2"
"159.25";"159";"1738.1";"23.7012448132781";"GUE_97_14.csv";"1998";"PcAb2"
"164.270833333333";"164";"1857.1";"16.1132861307788";"GUE_97_14.csv";"1998";"PcAb2"
"189.28125";"189";"2260.1";"14.8044515103339";"GUE_97_14.csv";"1998";"PcAb2"
"215.489583333333";"215";"2648.1";"6.6570342205323";"GUE_97_14.csv";"1998";"PcAb2"
"237.40625";"237";"2794";"2.26341463414636";"GUE_97_14.csv";"1998";"PcAb2"
"255.34375";"255";"2834.6";"1.9347691953232";"GUE_97_14.csv";"1998";"PcAb2"
"282.427083333333";"282";"2886.99999904";"0";"GUE_97_14.csv";"1998";"PcAb2"
"302.947916666667";"302";"2886.99999904";"0";"GUE_97_14.csv";"1998";"PcAb2"
"303.916666666667";"303";"2886.99999904";"0";"GUE_97_14.csv";"1998";"PcAb2"
"303.989583333333";"303";"2886.99999904";"0";"GUE_97_14.csv";"1998";"PcAb2"
"304";"304";"2886.99999904";"0";"GUE_97_14.csv";"1998";"PcAb2"
"91";"91";"75.9999996800007";"0";"GUE_97_14.csv";"1998";"PcAb3"
"92.6666666666667";"92";"75.9999996800007";"0";"GUE_97_14.csv";"1998";"PcAb3"
"92.6666666666667";"92";"79.9999942400136";"1248.00082943917";"GUE_97_14.csv";"1998";"PcAb3"
"92.6770833333333";"92";"93.0000028799932";"959.99969280028";"GUE_97_14.csv";"1998";"PcAb3"
"92.6875";"92";"102.999999680001";"959.99969280028";"GUE_97_14.csv";"1998";"PcAb3"
"92.6979166666667";"92";"112.999996480008";"912.000153599849";"GUE_97_14.csv";"1998";"PcAb3"
"92.71875";"92";"131.999999680001";"863.999723520261";"GUE_97_14.csv";"1998";"PcAb3"
"92.7291666666667";"92";"140.999996800007";"768.000522239454";"GUE_97_14.csv";"1998";"PcAb3"
"92.7395833333333";"92";"149.000002239995";"767.999754240242";"GUE_97_14.csv";"1998";"PcAb3"
"92.75";"92";"156.999999680001";"528.000061439972";"GUE_97_14.csv";"1998";"PcAb3"
"92.7708333333333";"92";"168.000000959998";"455.999969280022";"GUE_97_14.csv";"1998";"PcAb3"
"92.8125";"92";"186.999999680001";"422.709676923875";"GUE_97_14.csv";"1998";"PcAb3"
"93.4583333333333";"93";"459.999999360001";"95.9999692800411";"GUE_97_14.csv";"1998";"PcAb3"
"93.4791666666667";"93";"461.999998720003";"93.8181828654529";"GUE_97_14.csv";"1998";"PcAb3"
"94.3958333333333";"94";"547.999999680001";"59.9999884800222";"GUE_97_14.csv";"1998";"PcAb3"
"94.4791666666667";"94";"552.999998720003";"48.0000460798947";"GUE_97_14.csv";"1998";"PcAb3"
"94.5";"94";"553.999999680001";"20.3965217391304";"GUE_97_14.csv";"1998";"PcAb3"
"166.375";"166";"2019.99999968";"15.7515736466639";"GUE_97_14.csv";"1998";"PcAb3"
"216.020833333333";"216";"2801.99999968";"2.064790228359";"GUE_97_14.csv";"1998";"PcAb3"
"255.25";"255";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"255.260416666667";"255";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"255.270833333333";"255";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"255.28125";"255";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"255.291666666667";"255";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"282.427083333333";"282";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"303.0625";"303";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"303.09375";"303";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"304";"304";"2882.99999968";"0";"GUE_97_14.csv";"1998";"PcAb3"
"148";"148";"84.1";"0";"GUE_97_14.csv";"1998";"PcAb3_CD"
"213.291666666667";"213";"84.1";"0";"GUE_97_14.csv";"1998";"PcAb3_CD"
"213.291666666667";"213";"84.2999990400026";"28.8000614398878";"GUE_97_14.csv";"1998";"PcAb3_CD"
"213.302083333333";"213";"84.5999996800011";"25.1200010239964";"GUE_97_14.csv";"1998";"PcAb3_CD"
"213.927083333333";"213";"100.300000319999";"23.4795125204969";"GUE_97_14.csv";"1998";"PcAb3_CD"
"214.791666666667";"214";"120.599995520012";"19.7647122070415";"GUE_97_14.csv";"1998";"PcAb3_CD"
"215.5";"215";"134.6";"9.60000000000036";"GUE_97_14.csv";"1998";"PcAb3_CD"
"215.53125";"215";"134.9";"3.83999999999996";"GUE_97_14.csv";"1998";"PcAb3_CD"
"215.6875";"215";"135.5";"1.64210485894848";"GUE_97_14.csv";"1998";"PcAb3_CD"
"216.479166666667";"216";"136.799999680001";"1.26646814036925";"GUE_97_14.csv";"1998";"PcAb3_CD"
"286.4375";"286";"225.4";"0";"GUE_97_14.csv";"1998";"PcAb3_CD"
